name,sex,classif1,time,obs_value
Albania,SEX_T,AGE_YTHADULT_YGE15,2007,15.9663
Albania,SEX_T,AGE_YTHADULT_Y15-64,2007,16.0961
Albania,SEX_T,AGE_YTHADULT_Y15-24,2007,26.5813
Albania,SEX_T,AGE_YTHADULT_YGE25,2007,13.964
Albania,SEX_M,AGE_YTHADULT_YGE15,2007,15.6781
Albania,SEX_M,AGE_YTHADULT_Y15-64,2007,15.8265
Albania,SEX_M,AGE_YTHADULT_Y15-24,2007,27.592
Albania,SEX_M,AGE_YTHADULT_YGE25,2007,13.4247
Albania,SEX_F,AGE_YTHADULT_YGE15,2007,16.4307
Albania,SEX_F,AGE_YTHADULT_Y15-64,2007,16.5289
Albania,SEX_F,AGE_YTHADULT_Y15-24,2007,24.943
Albania,SEX_F,AGE_YTHADULT_YGE25,2007,14.8321
Albania,SEX_T,AGE_YTHADULT_YGE15,2008,13.0599
Albania,SEX_T,AGE_YTHADULT_Y15-64,2008,13.1924
Albania,SEX_T,AGE_YTHADULT_Y15-24,2008,27.0624
Albania,SEX_T,AGE_YTHADULT_YGE25,2008,10.9295
Albania,SEX_M,AGE_YTHADULT_YGE15,2008,12.5207
Albania,SEX_M,AGE_YTHADULT_Y15-64,2008,12.6849
Albania,SEX_M,AGE_YTHADULT_Y15-24,2008,26.8782
Albania,SEX_M,AGE_YTHADULT_YGE25,2008,10.3034
Albania,SEX_F,AGE_YTHADULT_YGE15,2008,13.7219
Albania,SEX_F,AGE_YTHADULT_Y15-64,2008,13.8085
Albania,SEX_F,AGE_YTHADULT_Y15-24,2008,27.2953
Albania,SEX_F,AGE_YTHADULT_YGE25,2008,11.6948
Albania,SEX_T,AGE_YTHADULT_YGE15,2009,13.6739
Albania,SEX_T,AGE_YTHADULT_Y15-64,2009,13.7344
Albania,SEX_T,AGE_YTHADULT_Y15-24,2009,26.9777
Albania,SEX_T,AGE_YTHADULT_YGE25,2009,11.154000000000002
Albania,SEX_M,AGE_YTHADULT_YGE15,2009,12.1358
Albania,SEX_M,AGE_YTHADULT_Y15-64,2009,12.1883
Albania,SEX_M,AGE_YTHADULT_Y15-24,2009,26.1571
Albania,SEX_M,AGE_YTHADULT_YGE25,2009,9.5752
Albania,SEX_F,AGE_YTHADULT_YGE15,2009,15.6435
Albania,SEX_F,AGE_YTHADULT_Y15-64,2009,15.7021
Albania,SEX_F,AGE_YTHADULT_Y15-24,2009,27.9588
Albania,SEX_F,AGE_YTHADULT_YGE25,2009,13.2025
Albania,SEX_T,AGE_YTHADULT_YGE15,2010,14.085999999999999
Albania,SEX_T,AGE_YTHADULT_Y15-64,2010,14.205
Albania,SEX_T,AGE_YTHADULT_Y15-24,2010,30.5003
Albania,SEX_T,AGE_YTHADULT_YGE25,2010,11.194
Albania,SEX_M,AGE_YTHADULT_YGE15,2010,12.732000000000001
Albania,SEX_M,AGE_YTHADULT_Y15-64,2010,12.8866
Albania,SEX_M,AGE_YTHADULT_Y15-24,2010,29.6153
Albania,SEX_M,AGE_YTHADULT_YGE25,2010,9.5275
Albania,SEX_F,AGE_YTHADULT_YGE15,2010,15.8438
Albania,SEX_F,AGE_YTHADULT_Y15-64,2010,15.9044
Albania,SEX_F,AGE_YTHADULT_Y15-24,2010,31.8365
Albania,SEX_F,AGE_YTHADULT_YGE25,2010,13.3013
Albania,SEX_T,AGE_YTHADULT_YGE15,2011,13.4809
Albania,SEX_T,AGE_YTHADULT_Y15-64,2011,13.7769
Albania,SEX_T,AGE_YTHADULT_Y15-24,2011,22.6626
Albania,SEX_T,AGE_YTHADULT_YGE25,2011,11.57
Albania,SEX_M,AGE_YTHADULT_YGE15,2011,13.2651
Albania,SEX_M,AGE_YTHADULT_Y15-64,2011,13.5776
Albania,SEX_M,AGE_YTHADULT_Y15-24,2011,24.7622
Albania,SEX_M,AGE_YTHADULT_YGE25,2011,10.6306
Albania,SEX_F,AGE_YTHADULT_YGE15,2011,13.7531
Albania,SEX_F,AGE_YTHADULT_Y15-64,2011,14.0259
Albania,SEX_F,AGE_YTHADULT_Y15-24,2011,19.4664
Albania,SEX_F,AGE_YTHADULT_YGE25,2011,12.7098
Albania,SEX_T,AGE_YTHADULT_YGE15,2012,13.3759
Albania,SEX_T,AGE_YTHADULT_Y15-64,2012,13.8235
Albania,SEX_T,AGE_YTHADULT_Y15-24,2012,29.2525
Albania,SEX_T,AGE_YTHADULT_YGE25,2012,10.8876
Albania,SEX_M,AGE_YTHADULT_YGE15,2012,14.8101
Albania,SEX_M,AGE_YTHADULT_Y15-64,2012,15.3666
Albania,SEX_M,AGE_YTHADULT_Y15-24,2012,32.2785
Albania,SEX_M,AGE_YTHADULT_YGE25,2012,11.54
Albania,SEX_F,AGE_YTHADULT_YGE15,2012,11.4894
Albania,SEX_F,AGE_YTHADULT_Y15-64,2012,11.8146
Albania,SEX_F,AGE_YTHADULT_Y15-24,2012,23.3485
Albania,SEX_F,AGE_YTHADULT_YGE25,2012,10.0788
Albania,SEX_T,AGE_YTHADULT_YGE15,2013,15.8659
Albania,SEX_T,AGE_YTHADULT_Y15-64,2013,16.2776
Albania,SEX_T,AGE_YTHADULT_Y15-24,2013,31.237
Albania,SEX_T,AGE_YTHADULT_YGE25,2013,13.7965
Albania,SEX_M,AGE_YTHADULT_YGE15,2013,17.7558
Albania,SEX_M,AGE_YTHADULT_Y15-64,2013,18.2919
Albania,SEX_M,AGE_YTHADULT_Y15-24,2013,33.6451
Albania,SEX_M,AGE_YTHADULT_YGE25,2013,15.302999999999999
Albania,SEX_F,AGE_YTHADULT_YGE15,2013,13.4358
Albania,SEX_F,AGE_YTHADULT_Y15-64,2013,13.7225
Albania,SEX_F,AGE_YTHADULT_Y15-24,2013,27.0661
Albania,SEX_F,AGE_YTHADULT_YGE25,2013,11.9333
Albania,SEX_T,AGE_YTHADULT_YGE15,2014,18.0548
Albania,SEX_T,AGE_YTHADULT_Y15-64,2014,18.4734
Albania,SEX_T,AGE_YTHADULT_Y15-24,2014,39.8693
Albania,SEX_T,AGE_YTHADULT_YGE25,2014,15.2274
Albania,SEX_M,AGE_YTHADULT_YGE15,2014,19.9054
Albania,SEX_M,AGE_YTHADULT_Y15-64,2014,20.434
Albania,SEX_M,AGE_YTHADULT_Y15-24,2014,43.6144
Albania,SEX_M,AGE_YTHADULT_YGE25,2014,16.3725
Albania,SEX_F,AGE_YTHADULT_YGE15,2014,15.5204
Albania,SEX_F,AGE_YTHADULT_Y15-64,2014,15.8136
Albania,SEX_F,AGE_YTHADULT_Y15-24,2014,32.8133
Albania,SEX_F,AGE_YTHADULT_YGE25,2014,13.7206
Albania,SEX_T,AGE_YTHADULT_YGE15,2015,17.192999999999998
Albania,SEX_T,AGE_YTHADULT_Y15-64,2015,17.5806
Albania,SEX_T,AGE_YTHADULT_Y15-24,2015,39.9773
Albania,SEX_T,AGE_YTHADULT_YGE25,2015,14.1981
Albania,SEX_M,AGE_YTHADULT_YGE15,2015,17.2469
Albania,SEX_M,AGE_YTHADULT_Y15-64,2015,17.6939
Albania,SEX_M,AGE_YTHADULT_Y15-24,2015,39.5348
Albania,SEX_M,AGE_YTHADULT_YGE25,2015,13.8183
Albania,SEX_F,AGE_YTHADULT_YGE15,2015,17.1211
Albania,SEX_F,AGE_YTHADULT_Y15-64,2015,17.4311
Albania,SEX_F,AGE_YTHADULT_Y15-24,2015,40.8206
Albania,SEX_F,AGE_YTHADULT_YGE25,2015,14.6824
Albania,SEX_T,AGE_YTHADULT_YGE15,2016,15.4176
Albania,SEX_T,AGE_YTHADULT_Y15-64,2016,15.8059
Albania,SEX_T,AGE_YTHADULT_Y15-24,2016,36.6129
Albania,SEX_T,AGE_YTHADULT_YGE25,2016,12.9645
Albania,SEX_M,AGE_YTHADULT_YGE15,2016,16.1412
Albania,SEX_M,AGE_YTHADULT_Y15-64,2016,16.6448
Albania,SEX_M,AGE_YTHADULT_Y15-24,2016,37.6935
Albania,SEX_M,AGE_YTHADULT_YGE25,2016,13.3745
Albania,SEX_F,AGE_YTHADULT_YGE15,2016,14.4709
Albania,SEX_F,AGE_YTHADULT_Y15-64,2016,14.7244
Albania,SEX_F,AGE_YTHADULT_Y15-24,2016,34.8377
Albania,SEX_F,AGE_YTHADULT_YGE25,2016,12.4418
Albania,SEX_T,AGE_YTHADULT_YGE15,2017,13.6158
Albania,SEX_T,AGE_YTHADULT_Y15-64,2017,13.9826
Albania,SEX_T,AGE_YTHADULT_Y15-24,2017,31.6098
Albania,SEX_T,AGE_YTHADULT_YGE25,2017,11.5882
Albania,SEX_M,AGE_YTHADULT_YGE15,2017,14.442
Albania,SEX_M,AGE_YTHADULT_Y15-64,2017,14.931
Albania,SEX_M,AGE_YTHADULT_Y15-24,2017,33.6795
Albania,SEX_M,AGE_YTHADULT_YGE25,2017,11.9544
Albania,SEX_F,AGE_YTHADULT_YGE15,2017,12.504000000000001
Albania,SEX_F,AGE_YTHADULT_Y15-64,2017,12.7156
Albania,SEX_F,AGE_YTHADULT_Y15-24,2017,27.7885
Albania,SEX_F,AGE_YTHADULT_YGE25,2017,11.1122
Albania,SEX_T,AGE_YTHADULT_YGE15,2018,12.3038
Albania,SEX_T,AGE_YTHADULT_Y15-64,2018,12.7767
Albania,SEX_T,AGE_YTHADULT_Y15-24,2018,28.1274
Albania,SEX_T,AGE_YTHADULT_YGE25,2018,10.1951
Albania,SEX_M,AGE_YTHADULT_YGE15,2018,12.63
Albania,SEX_M,AGE_YTHADULT_Y15-64,2018,13.1656
Albania,SEX_M,AGE_YTHADULT_Y15-24,2018,29.5083
Albania,SEX_M,AGE_YTHADULT_YGE25,2018,10.0823
Albania,SEX_F,AGE_YTHADULT_YGE15,2018,11.8833
Albania,SEX_F,AGE_YTHADULT_Y15-64,2018,12.2812
Albania,SEX_F,AGE_YTHADULT_Y15-24,2018,25.796
Albania,SEX_F,AGE_YTHADULT_YGE25,2018,10.3354
Albania,SEX_T,AGE_YTHADULT_YGE15,2019,11.4655
Albania,SEX_T,AGE_YTHADULT_Y15-64,2019,11.9473
Albania,SEX_T,AGE_YTHADULT_Y15-24,2019,26.9775
Albania,SEX_T,AGE_YTHADULT_YGE25,2019,9.4739
Albania,SEX_M,AGE_YTHADULT_YGE15,2019,11.5848
Albania,SEX_M,AGE_YTHADULT_Y15-64,2019,12.1299
Albania,SEX_M,AGE_YTHADULT_Y15-24,2019,27.7635
Albania,SEX_M,AGE_YTHADULT_YGE25,2019,9.3668
Albania,SEX_F,AGE_YTHADULT_YGE15,2019,11.3161
Albania,SEX_F,AGE_YTHADULT_Y15-64,2019,11.720999999999998
Albania,SEX_F,AGE_YTHADULT_Y15-24,2019,25.8505
Albania,SEX_F,AGE_YTHADULT_YGE25,2019,9.6057
Andorra,,,0,
United Arab Emirates,SEX_T,AGE_YTHADULT_YGE15,2016,1.6355019801
United Arab Emirates,SEX_M,AGE_YTHADULT_YGE15,2016,1.0708512462
United Arab Emirates,SEX_F,AGE_YTHADULT_YGE15,2016,4.0204489031
United Arab Emirates,SEX_T,AGE_YTHADULT_YGE15,2017,2.463
United Arab Emirates,SEX_T,AGE_YTHADULT_Y15-64,2017,2.469
United Arab Emirates,SEX_T,AGE_YTHADULT_Y15-24,2017,7.6979999999999995
United Arab Emirates,SEX_T,AGE_YTHADULT_YGE25,2017,1.9022
United Arab Emirates,SEX_M,AGE_YTHADULT_YGE15,2017,1.4115
United Arab Emirates,SEX_M,AGE_YTHADULT_Y15-64,2017,1.4128
United Arab Emirates,SEX_M,AGE_YTHADULT_Y15-24,2017,6.0411
United Arab Emirates,SEX_M,AGE_YTHADULT_YGE25,2017,0.9339
United Arab Emirates,SEX_F,AGE_YTHADULT_YGE15,2017,6.8072
United Arab Emirates,SEX_F,AGE_YTHADULT_Y15-64,2017,6.8232
United Arab Emirates,SEX_F,AGE_YTHADULT_Y15-24,2017,13.5106
United Arab Emirates,SEX_F,AGE_YTHADULT_YGE25,2017,5.9775
United Arab Emirates,SEX_T,AGE_YTHADULT_YGE15,2019,2.227
United Arab Emirates,SEX_T,AGE_YTHADULT_Y15-64,2019,2.238
United Arab Emirates,SEX_T,AGE_YTHADULT_Y15-24,2019,7.1892
United Arab Emirates,SEX_T,AGE_YTHADULT_YGE25,2019,1.7611
United Arab Emirates,SEX_M,AGE_YTHADULT_YGE15,2019,1.2831
United Arab Emirates,SEX_M,AGE_YTHADULT_Y15-64,2019,1.2873
United Arab Emirates,SEX_M,AGE_YTHADULT_Y15-24,2019,4.9172
United Arab Emirates,SEX_M,AGE_YTHADULT_YGE25,2019,0.9312
United Arab Emirates,SEX_F,AGE_YTHADULT_YGE15,2019,5.1044
United Arab Emirates,SEX_F,AGE_YTHADULT_Y15-64,2019,5.1183
United Arab Emirates,SEX_F,AGE_YTHADULT_Y15-24,2019,14.994000000000002
United Arab Emirates,SEX_F,AGE_YTHADULT_YGE25,2019,4.2637
United Arab Emirates,SEX_T,AGE_YTHADULT_YGE15,2005,3.12
United Arab Emirates,SEX_T,AGE_YTHADULT_Y15-64,2005,3.12
United Arab Emirates,SEX_T,AGE_YTHADULT_Y15-24,2005,8.03
United Arab Emirates,SEX_T,AGE_YTHADULT_YGE25,2005,2.39
United Arab Emirates,SEX_M,AGE_YTHADULT_YGE15,2005,2.5
United Arab Emirates,SEX_M,AGE_YTHADULT_Y15-64,2005,2.51
United Arab Emirates,SEX_M,AGE_YTHADULT_Y15-24,2005,6.54
United Arab Emirates,SEX_M,AGE_YTHADULT_YGE25,2005,1.98
United Arab Emirates,SEX_F,AGE_YTHADULT_YGE15,2005,7.06
United Arab Emirates,SEX_F,AGE_YTHADULT_Y15-64,2005,7.06
United Arab Emirates,SEX_F,AGE_YTHADULT_Y15-24,2005,12.92
United Arab Emirates,SEX_F,AGE_YTHADULT_YGE25,2005,5.36
United Arab Emirates,SEX_T,AGE_YTHADULT_YGE15,2000,2.25
United Arab Emirates,SEX_M,AGE_YTHADULT_YGE15,2000,2.18
United Arab Emirates,SEX_F,AGE_YTHADULT_YGE15,2000,2.71
Argentina,SEX_T,AGE_YTHADULT_YGE15,2000,15.0
Argentina,SEX_M,AGE_YTHADULT_YGE15,2000,14.05
Argentina,SEX_F,AGE_YTHADULT_YGE15,2000,16.38
Argentina,SEX_T,AGE_YTHADULT_YGE15,2001,17.32
Argentina,SEX_M,AGE_YTHADULT_YGE15,2001,17.41
Argentina,SEX_F,AGE_YTHADULT_YGE15,2001,17.19
Argentina,SEX_T,AGE_YTHADULT_YGE15,2002,19.59
Argentina,SEX_M,AGE_YTHADULT_YGE15,2002,20.13
Argentina,SEX_F,AGE_YTHADULT_YGE15,2002,18.83
Argentina,SEX_T,AGE_YTHADULT_YGE15,2003,15.36
Argentina,SEX_M,AGE_YTHADULT_YGE15,2003,13.73
Argentina,SEX_F,AGE_YTHADULT_YGE15,2003,17.48
Argentina,SEX_T,AGE_YTHADULT_YGE15,2004,13.5221
Argentina,SEX_T,AGE_YTHADULT_Y15-64,2004,13.6413
Argentina,SEX_T,AGE_YTHADULT_Y15-24,2004,29.3229
Argentina,SEX_T,AGE_YTHADULT_YGE25,2004,9.9646
Argentina,SEX_M,AGE_YTHADULT_YGE15,2004,11.8342
Argentina,SEX_M,AGE_YTHADULT_Y15-64,2004,11.9055
Argentina,SEX_M,AGE_YTHADULT_Y15-24,2004,25.6423
Argentina,SEX_M,AGE_YTHADULT_YGE25,2004,8.656
Argentina,SEX_F,AGE_YTHADULT_YGE15,2004,15.7447
Argentina,SEX_F,AGE_YTHADULT_Y15-64,2004,15.9014
Argentina,SEX_F,AGE_YTHADULT_Y15-24,2004,34.3772
Argentina,SEX_F,AGE_YTHADULT_YGE25,2004,11.6713
Argentina,SEX_T,AGE_YTHADULT_YGE15,2005,11.5059
Argentina,SEX_T,AGE_YTHADULT_Y15-64,2005,11.5989
Argentina,SEX_T,AGE_YTHADULT_Y15-24,2005,26.0303
Argentina,SEX_T,AGE_YTHADULT_YGE25,2005,8.4311
Argentina,SEX_M,AGE_YTHADULT_YGE15,2005,9.9977
Argentina,SEX_M,AGE_YTHADULT_Y15-64,2005,10.0086
Argentina,SEX_M,AGE_YTHADULT_Y15-24,2005,22.8862
Argentina,SEX_M,AGE_YTHADULT_YGE25,2005,7.1365
Argentina,SEX_F,AGE_YTHADULT_YGE15,2005,13.5213
Argentina,SEX_F,AGE_YTHADULT_Y15-64,2005,13.7075
Argentina,SEX_F,AGE_YTHADULT_Y15-24,2005,30.6436
Argentina,SEX_F,AGE_YTHADULT_YGE25,2005,10.1273
Argentina,SEX_T,AGE_YTHADULT_YGE15,2006,10.0775
Argentina,SEX_T,AGE_YTHADULT_Y15-64,2006,10.1832
Argentina,SEX_T,AGE_YTHADULT_Y15-24,2006,23.6591
Argentina,SEX_T,AGE_YTHADULT_YGE25,2006,7.2518
Argentina,SEX_M,AGE_YTHADULT_YGE15,2006,8.3622
Argentina,SEX_M,AGE_YTHADULT_Y15-64,2006,8.3446
Argentina,SEX_M,AGE_YTHADULT_Y15-24,2006,19.6656
Argentina,SEX_M,AGE_YTHADULT_YGE25,2006,5.9607
Argentina,SEX_F,AGE_YTHADULT_YGE15,2006,12.3408
Argentina,SEX_F,AGE_YTHADULT_Y15-64,2006,12.5887
Argentina,SEX_F,AGE_YTHADULT_Y15-24,2006,29.1471
Argentina,SEX_F,AGE_YTHADULT_YGE25,2006,8.9411
Argentina,SEX_T,AGE_YTHADULT_YGE15,2007,8.47
Argentina,SEX_T,AGE_YTHADULT_YGE15,2008,7.8374
Argentina,SEX_T,AGE_YTHADULT_Y15-64,2008,7.9325
Argentina,SEX_T,AGE_YTHADULT_Y15-24,2008,18.8365
Argentina,SEX_T,AGE_YTHADULT_YGE25,2008,5.7082
Argentina,SEX_M,AGE_YTHADULT_YGE15,2008,6.4747
Argentina,SEX_M,AGE_YTHADULT_Y15-64,2008,6.5120000000000005
Argentina,SEX_M,AGE_YTHADULT_Y15-24,2008,16.5281
Argentina,SEX_M,AGE_YTHADULT_YGE25,2008,4.4481
Argentina,SEX_F,AGE_YTHADULT_YGE15,2008,9.6801
Argentina,SEX_F,AGE_YTHADULT_Y15-64,2008,9.8346
Argentina,SEX_F,AGE_YTHADULT_Y15-24,2008,22.2232
Argentina,SEX_F,AGE_YTHADULT_YGE25,2008,7.3858
Argentina,SEX_T,AGE_YTHADULT_YGE15,2009,8.6453
Argentina,SEX_T,AGE_YTHADULT_Y15-64,2009,8.7566
Argentina,SEX_T,AGE_YTHADULT_Y15-24,2009,21.1653
Argentina,SEX_T,AGE_YTHADULT_YGE25,2009,6.3011
Argentina,SEX_M,AGE_YTHADULT_YGE15,2009,7.757000000000001
Argentina,SEX_M,AGE_YTHADULT_Y15-64,2009,7.8201
Argentina,SEX_M,AGE_YTHADULT_Y15-24,2009,18.8378
Argentina,SEX_M,AGE_YTHADULT_YGE25,2009,5.5495
Argentina,SEX_F,AGE_YTHADULT_YGE15,2009,9.8313
Argentina,SEX_F,AGE_YTHADULT_Y15-64,2009,9.9955
Argentina,SEX_F,AGE_YTHADULT_Y15-24,2009,24.6888
Argentina,SEX_F,AGE_YTHADULT_YGE25,2009,7.2813
Argentina,SEX_T,AGE_YTHADULT_YGE15,2010,7.7139
Argentina,SEX_T,AGE_YTHADULT_Y15-64,2010,7.8235
Argentina,SEX_T,AGE_YTHADULT_Y15-24,2010,19.3585
Argentina,SEX_T,AGE_YTHADULT_YGE25,2010,5.6004
Argentina,SEX_M,AGE_YTHADULT_YGE15,2010,6.6474
Argentina,SEX_M,AGE_YTHADULT_Y15-64,2010,6.6945
Argentina,SEX_M,AGE_YTHADULT_Y15-24,2010,16.5754
Argentina,SEX_M,AGE_YTHADULT_YGE25,2010,4.7406
Argentina,SEX_F,AGE_YTHADULT_YGE15,2010,9.1689
Argentina,SEX_F,AGE_YTHADULT_Y15-64,2010,9.3509
Argentina,SEX_F,AGE_YTHADULT_Y15-24,2010,23.6247
Argentina,SEX_F,AGE_YTHADULT_YGE25,2010,6.7491
Argentina,SEX_T,AGE_YTHADULT_YGE15,2011,7.1795
Argentina,SEX_T,AGE_YTHADULT_Y15-64,2011,7.3032
Argentina,SEX_T,AGE_YTHADULT_Y15-24,2011,18.7273
Argentina,SEX_T,AGE_YTHADULT_YGE25,2011,5.1438
Argentina,SEX_M,AGE_YTHADULT_YGE15,2011,6.2403
Argentina,SEX_M,AGE_YTHADULT_Y15-64,2011,6.3216
Argentina,SEX_M,AGE_YTHADULT_Y15-24,2011,16.5295
Argentina,SEX_M,AGE_YTHADULT_YGE25,2011,4.3201
Argentina,SEX_F,AGE_YTHADULT_YGE15,2011,8.4851
Argentina,SEX_F,AGE_YTHADULT_Y15-64,2011,8.657
Argentina,SEX_F,AGE_YTHADULT_Y15-24,2011,22.1689
Argentina,SEX_F,AGE_YTHADULT_YGE25,2011,6.265
Argentina,SEX_T,AGE_YTHADULT_YGE15,2012,7.2166
Argentina,SEX_T,AGE_YTHADULT_Y15-64,2012,7.3637
Argentina,SEX_T,AGE_YTHADULT_Y15-24,2012,18.2815
Argentina,SEX_T,AGE_YTHADULT_YGE25,2012,5.2608
Argentina,SEX_M,AGE_YTHADULT_YGE15,2012,6.0644
Argentina,SEX_M,AGE_YTHADULT_Y15-64,2012,6.1775
Argentina,SEX_M,AGE_YTHADULT_Y15-24,2012,15.2809
Argentina,SEX_M,AGE_YTHADULT_YGE25,2012,4.3111
Argentina,SEX_F,AGE_YTHADULT_YGE15,2012,8.7876
Argentina,SEX_F,AGE_YTHADULT_Y15-64,2012,8.9663
Argentina,SEX_F,AGE_YTHADULT_Y15-24,2012,23.0511
Argentina,SEX_F,AGE_YTHADULT_YGE25,2012,6.5215
Argentina,SEX_T,AGE_YTHADULT_YGE15,2013,7.0996
Argentina,SEX_T,AGE_YTHADULT_Y15-64,2013,7.2392
Argentina,SEX_T,AGE_YTHADULT_Y15-24,2013,19.4302
Argentina,SEX_T,AGE_YTHADULT_YGE25,2013,4.9342
Argentina,SEX_M,AGE_YTHADULT_YGE15,2013,6.1049
Argentina,SEX_M,AGE_YTHADULT_Y15-64,2013,6.1896
Argentina,SEX_M,AGE_YTHADULT_Y15-24,2013,16.9894
Argentina,SEX_M,AGE_YTHADULT_YGE25,2013,4.0072
Argentina,SEX_F,AGE_YTHADULT_YGE15,2013,8.4641
Argentina,SEX_F,AGE_YTHADULT_Y15-64,2013,8.6636
Argentina,SEX_F,AGE_YTHADULT_Y15-24,2013,23.5093
Argentina,SEX_F,AGE_YTHADULT_YGE25,2013,6.1634
Argentina,SEX_T,AGE_YTHADULT_YGE15,2014,7.2676
Argentina,SEX_T,AGE_YTHADULT_Y15-64,2014,7.4092
Argentina,SEX_T,AGE_YTHADULT_Y15-24,2014,18.8425
Argentina,SEX_T,AGE_YTHADULT_YGE25,2014,5.2398
Argentina,SEX_M,AGE_YTHADULT_YGE15,2014,6.4686
Argentina,SEX_M,AGE_YTHADULT_Y15-64,2014,6.5911
Argentina,SEX_M,AGE_YTHADULT_Y15-24,2014,16.7083
Argentina,SEX_M,AGE_YTHADULT_YGE25,2014,4.5101
Argentina,SEX_F,AGE_YTHADULT_YGE15,2014,8.3618
Argentina,SEX_F,AGE_YTHADULT_Y15-64,2014,8.5163
Argentina,SEX_F,AGE_YTHADULT_Y15-24,2014,22.3611
Argentina,SEX_F,AGE_YTHADULT_YGE25,2014,6.2077
Argentina,SEX_T,AGE_YTHADULT_YGE15,2017,8.3474
Argentina,SEX_T,AGE_YTHADULT_Y15-64,2017,8.5335
Argentina,SEX_T,AGE_YTHADULT_Y15-24,2017,22.64
Argentina,SEX_T,AGE_YTHADULT_YGE25,2017,5.9506
Argentina,SEX_M,AGE_YTHADULT_YGE15,2017,7.513
Argentina,SEX_M,AGE_YTHADULT_Y15-64,2017,7.7107
Argentina,SEX_M,AGE_YTHADULT_Y15-24,2017,19.8635
Argentina,SEX_M,AGE_YTHADULT_YGE25,2017,5.2834
Argentina,SEX_F,AGE_YTHADULT_YGE15,2017,9.4463
Argentina,SEX_F,AGE_YTHADULT_Y15-64,2017,9.6061
Argentina,SEX_F,AGE_YTHADULT_Y15-24,2017,26.8972
Argentina,SEX_F,AGE_YTHADULT_YGE25,2017,6.8075
Argentina,SEX_T,AGE_YTHADULT_YGE15,2018,9.2205
Argentina,SEX_T,AGE_YTHADULT_Y15-64,2018,9.3666
Argentina,SEX_T,AGE_YTHADULT_Y15-24,2018,23.7273
Argentina,SEX_T,AGE_YTHADULT_YGE25,2018,6.8629999999999995
Argentina,SEX_M,AGE_YTHADULT_YGE15,2018,8.2029
Argentina,SEX_M,AGE_YTHADULT_Y15-64,2018,8.2793
Argentina,SEX_M,AGE_YTHADULT_Y15-24,2018,20.8492
Argentina,SEX_M,AGE_YTHADULT_YGE25,2018,6.0369
Argentina,SEX_F,AGE_YTHADULT_YGE15,2018,10.5083
Argentina,SEX_F,AGE_YTHADULT_Y15-64,2018,10.722999999999999
Argentina,SEX_F,AGE_YTHADULT_Y15-24,2018,27.7736
Argentina,SEX_F,AGE_YTHADULT_YGE25,2018,7.8911
Argentina,SEX_T,AGE_YTHADULT_YGE15,2019,9.8427
